KOREA,#genre#
MBC,http://123.254.72.24:1935/tvlive/livestream2/.m3u8
MBC_,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
MBC__,http://mytv.dothome.co.kr/ch/public/5.php
UBC-SBS,http://mytv.dothome.co.kr/ch/public/7.php
TJB-SBS,http://1.245.74.5:1935/live/tv/.m3u8
CJB-SBS,http://1.222.207.80:1935/live/cjbtv/.m3u8
JTV-SBS,http://61.85.197.53:1935/jtv_live/myStream/.m3u8
KBS1_,http://mytv.dothome.co.kr/ch/public/1.php
KBS2_,http://mytv.dothome.co.kr/ch/public/3.php
KBS-NEWS_,http://mytv.dothome.co.kr/ch/catv/1.php
KBS-WORLD_,http://mytv.dothome.co.kr/ch/catv/7.php
KBS-DRAMA_,http://mytv.dothome.co.kr/ch/catv/2.php
KBS-STORY_,http://mytv.dothome.co.kr/ch/catv/4.php
KBS-LIFE_,http://mytv.dothome.co.kr/ch/catv/5.php
KBS-KIDS_,http://mytv.dothome.co.kr/ch/catv/6.php
KBS-JOY_,http://mytv.dothome.co.kr/ch/catv/3.php
KBS1-충남,http://mytv.dothome.co.kr/ch/public/11.php
KBS1-전남,http://mytv.dothome.co.kr/ch/public/12.php
KBS1-경북,http://mytv.dothome.co.kr/ch/public/13.php
KBS1-울산,http://mytv.dothome.co.kr/ch/public/14.php
KBS1-부산,http://mytv.dothome.co.kr/ch/public/15.php
KBS1-강원,http://mytv.dothome.co.kr/ch/public/16.php

我的直播,#genre#
延边卫视,https://live.ybtvyun.com/video/s10006-2f92b9e0b123/index.m3u8
延边1台,https://live.ybtvyun.com/video/s10006-ff4eb5dba33d/index.m3u8
延边2台,https://live.ybtvyun.com/video/s10006-e9c6f9e4d53b/index.m3u8

🇨🇳央视频道,#genre#
CCTV1,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV2,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV3,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV4,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV5,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV6,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001859/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV7,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV8,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001869/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV9,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001294/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV10,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001288/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV11,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001327/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
